model,std_model_id
02115_emm,02115_emm
02115_emms,02115_emms
02115-emmsa,02115_emmsa
4Sight,vt_4sight
4Sight2,vt_4sight2
ARETE,arete_arete
ARGO,argo_argo
BioFire FLI,biofire-fli_rp-net
CEID,ceid_ceid
CU_Albatross,cu_albatross
CU_Network,cu_network
CU_Puffins,cu_puffins
CU_Sel,cu_sel
CU_Vixen,cu_vixen
CU-Network,cu_network
CU_Ravens,cu_ravens
CU-SEL,cu_sel
CU1,cu_1.0
CU2,cu_2.0
CU3,cu_3.0
CU4,cu_4.0
Delphi-Archefilter,delphi_archefilter
Delphi-Epicast-Mturk,delphi_epicast-mturk
Delphi-Epicast,delphi_epicast
Delphi-Epicast2,delphi_epicast2
Delphi-Stat,delphi_stat
Draft,lstm_draft
EpiDeep,vt_epideep
EvoEpiFlu,evoepiflu_evoepiflu
EvoEpiFlu_cluster,evoepiflu_cluster
Fire-FLI,fire_fli
FluOutlook-Mech,fluoutlook_mech
FluOutlook-MechArgo,fluoutlook_mechargo
FluOutlook-MechAug,fluoutlook_mechaug
FluOutlook-MechAug2,fluoutlook_mechaug2
FluSight Avg,flusight_avg
FluSightNetwork,flusight_network
FluX,flux_flux
FluX_ARLR,flux_arlr
FluX_LSTM,flux_lstm
FORSEA,moru_forsea
GH-TeamA,gh_teama
GH-TeamB,gh_teamb
GHRI,ghri_ghri
GSU_extLog,gsu_extlog
Guidehouse_A,guidehouse_a
Harvard,harvard_harvard
Hist-Avg,hist_avg
HumNat,umn_humnat
HumNat2,umn_humnat2
ICS,ics_ics
ISU,isu_isu
JL,jl_jl
KBSI,kbsi_kbsi
KBSI1,kbsi_1.0
Kernel of Truth,kot_kot1
KISTI_CSB_26weeks,kisti_csb-26 weeks
KISTI_JHKIM,kisti_jhkim
KOT,kot_kot
KoT,kot_kot
KoT-adaptive,kot_adaptive
KoT_dev,kot_dev
KOT-Dev,kot_dev
KoT-GPthingy,kot_gpthingy
KOT-Stable,kot_stable
KPWHRI,kpwhri_kpwhri
LANL,lanl_lanl
LANL_DBMplus,lanl_dmbplus
LANL-Dante,lanl_dante
LANL_Danteplus,lanl_danteplus
LANL-DBM,lanl_dbm
LANL-DBMplus,lanl_dbmplus
NEU,neu_neu
NEU-GLEAM,neu_gleam
PPFST,ppfst_ppfst
PPFST Crowd,ppfst_crowd
PPFST2,ppfst_2.0
PredSci,predsci_predsci
Protea-Cheetah,protea_cheetah
Protea-Springbok,protea_springbok
PSI,psi_dice
PSI-e,psi_e
PSI-s,psi_s
Team A,team_a
Team_GA,team_ga
TeamA,team_a
TeamAnonymous,team_anonymous
TeamB,team_b
TeamC,team_c
TeamD,team_d
TeamE,team_e
Tulane,tulane_tulane
Tulane2018,tulane_2018.0
UA Epiflu,ua_epiflu
UA EpiFlu,ua_epiflu
UA I,ua_i
UA_EpiCos,ua_epicos
UA-EpiCos,ua_epicos
UCSF3,ucsf_3.0
UMN,umn_umn
UMNSpl,umn_spi
UniMelb,uom_uom
UnwghtAvg,unwghtavg_unwghtavg
uom,uom_uom
UoM-DSTG,uom_dstg
Yale1,yale_1.0
Yale2,yale_2.0
YaleModel,yale_model
